,xnew,ynew
258,25848.97,191.41431259867383
259,25948.97,191.4900940953584
260,26048.97,191.56587559204294
261,26148.97,191.54447474747474
262,26248.97,191.44346464646463
263,26348.97,191.34245454545453
264,26448.97,191.24144444444443
265,26548.97,191.14043434343435
266,26648.97,191.03942424242425
267,26748.97,190.93841414141414
268,26848.97,190.83740404040404
269,26948.97,190.73639393939393
270,27048.97,190.63538383838383
271,27148.97,190.53437373737373
272,27248.97,190.43336363636362
273,27348.97,190.33235353535352
274,27448.97,190.23134343434344
275,27548.97,190.13033333333334
276,27648.97,190.02932323232324
277,27748.97,189.92831313131313
278,27848.97,189.82730303030303
279,27948.97,189.72629292929292
280,28048.97,189.62528282828282
281,28148.97,189.52427272727272
282,28248.97,189.4232626262626
283,28348.97,189.3222525252525
284,28448.97,189.22124242424243
285,28548.97,189.12023232323233
286,28648.97,189.01922222222223
287,28748.97,188.91821212121212
288,28848.97,188.81720202020202
289,28948.97,188.7161919191919
290,29048.97,188.6151818181818
291,29148.97,188.5141717171717
292,29248.97,188.78746499477535
293,29348.97,189.1218432601881
294,29448.97,189.45622152560082
295,29548.97,189.7905997910136
296,29648.97,190.12497805642633
297,29748.97,190.45935632183907
298,29848.97,190.79373458725183
299,29948.97,191.12811285266457
300,30048.97,191.4624911180773
301,30148.97,191.77897213870514
302,30248.97,192.05157185808778
303,30348.97,192.32417157747042
304,30448.97,192.59677129685306
305,30548.97,192.8693710162357
306,30648.97,193.14197073561834
307,30748.97,193.41457045500098
308,30848.97,193.68717017438365
309,30948.97,193.9597698937663
310,31048.97,194.23236961314893
311,31148.97,194.50496933253157
312,31248.97,194.7775690519142
313,31348.97,195.05016877129685
314,31448.97,195.3227684906795
315,31548.97,195.59536821006213
316,31648.97,195.86796792944477
317,31748.97,196.1405676488274
318,31848.97,196.41316736821005
319,31948.97,196.6857670875927
320,32048.97,196.95836680697533
321,32148.97,197.23096652635797
322,32248.97,197.50356624574064
323,32348.97,197.77616596512328
324,32448.97,198.04876568450592
325,32548.97,198.32136540388856
326,32648.97,198.5939651232712
327,32748.97,198.86656484265384
328,32848.97,199.13916456203648
329,32948.97,199.41176428141912
330,33048.97,199.68436400080176
331,33148.97,199.9569637201844
332,33248.97,200.22956343956704
333,33348.97,200.50216315894968
334,33448.97,200.77476287833235
335,33548.97,201.047362597715
336,33648.97,201.31996231709763
337,33748.97,201.59256203648027
338,33848.97,201.8651617558629
339,33948.97,202.13776147524555
340,34048.97,202.4103611946282
341,34148.97,202.68296091401083
342,34248.97,202.95556063339347
343,34348.97,203.22816035277611
344,34448.97,203.50076007215876
345,34548.97,203.7733597915414
346,34648.97,204.04595951092404
347,34748.97,204.31855923030668
348,34848.97,204.59115894968932
349,34948.97,204.86375866907198
350,35048.97,205.13635838845462
351,35148.97,205.36169212022747
352,35248.97,205.5160381803412
353,35348.97,205.67038424045492
354,35448.97,205.82473030056866
355,35548.97,205.97907636068237
356,35648.97,206.1334224207961
357,35748.97,206.28776848090985
358,35848.97,206.44211454102356
359,35948.97,206.5964606011373
360,36048.97,206.75080666125103
361,36148.97,206.90515272136474
362,36248.97,207.05949878147848
363,36348.97,207.21384484159222
364,36448.97,207.36819090170593
365,36548.97,207.52253696181967
366,36648.97,207.67688302193338
367,36748.97,207.83122908204712
368,36848.97,207.98557514216085
369,36948.97,208.13992120227456
370,37048.97,208.2942672623883
371,37148.97,208.44861332250204
372,37248.97,208.60295938261575
373,37348.97,208.7573054427295
374,37448.97,208.91165150284323
375,37548.97,209.06599756295694
376,37648.97,209.1
377,37748.97,209.1
378,37848.97,209.1
379,37948.97,209.1
380,38048.97,209.1
381,38148.97,209.1
382,38248.97,209.1
383,38348.97,209.1
384,38448.97,209.1
385,38548.97,209.1
386,38648.97,209.1
387,38748.97,209.1
388,38848.97,209.1
389,38948.97,209.1
390,39048.97,209.1
391,39148.97,209.1
392,39248.97,209.1
393,39348.97,209.1
394,39448.97,209.1
395,39548.97,209.1
396,39648.97,209.1
397,39748.97,209.1
398,39848.97,209.1
399,39948.97,209.1
400,40048.97,209.1
